proposed_label,parent_category,main_category,occurrences,first_seen_ticker,first_seen_at,promoted
General Working Capital,Working Capital,General Working Capital,1,03750,2026-05-21T02:52:06Z,0
Unspecified use,Others,Unallocated / Unspecified,1,6031,2026-05-21T02:54:39Z,0
Global service network expansion,Growth,Infrastructure and Network,1,6031,2026-05-21T02:54:39Z,0
Overseas manufacturing build-out,Growth,Capacity Expansion,1,6031,2026-05-21T02:54:39Z,0
General working capital,Working Capital,General Working Capital,1,6031,2026-05-21T02:54:39Z,0
Market analysis and entry strategy,Growth,Geographic Expansion,1,2698,2026-05-21T02:56:27Z,0
General Corporate Purposes,Others,General Corporate Purposes,1,1187,2026-05-21T02:57:30Z,0
Industry-specific solutions,Growth,Product Development,1,6871,2026-05-21T02:58:36Z,0
AI and embodied intelligence,Growth,R&D and Technology,1,6871,2026-05-21T02:58:36Z,0
Day-to-day Operations,Working Capital,General Working Capital,1,00327,2026-05-25T09:13:16Z,0
Acquisition of products or product lines,Growth,Acquisitions and Strategic Investments,1,00460,2026-05-25T09:13:26Z,0
Inventory Procurement,Working Capital,Inventory Procurement,1,00442,2026-05-25T09:13:29Z,0
Project operations,Working Capital,Day-to-day Operations,1,00331,2026-05-25T09:13:29Z,0
General working capital,Others,General Corporate Purposes,1,00722,2026-05-25T09:13:44Z,0
Customer acquisition and brand building,Growth,Sales and Marketing,1,00772,2026-05-25T09:13:55Z,0
Livestock procurement,Growth,Infrastructure and Network,1,01117,2026-05-25T09:15:38Z,0
Unallocated / Unspecified,Others,General Corporate Purposes,1,01121,2026-05-25T09:15:39Z,0
Licensing / brand acquisition,Growth,Acquisitions and Strategic Investments,1,01146,2026-05-25T09:15:45Z,0
Capital base strengthening,Others,General Corporate Purposes,1,01216,2026-05-25T09:15:59Z,0
Region-specific development,Growth,Geographic Expansion,1,01233,2026-05-25T09:16:14Z,0
Restructuring deed installments,Financing,Debt Repayment,1,01233,2026-05-25T09:16:14Z,0
Hiring and training,Growth,Capacity Expansion,1,01240,2026-05-25T09:16:22Z,0
Lease repayment,Financing,Debt Repayment,1,01240,2026-05-25T09:16:22Z,0
Performance bond financing,Working Capital,General Working Capital,1,01183,2026-05-25T09:16:25Z,0
Working capital for increased production volume,Working Capital,General Working Capital,1,01241,2026-05-25T09:16:35Z,0
Staff hiring for R&D,Growth,R&D and Technology,1,01305,2026-05-25T09:17:29Z,0
Working Capital,Working Capital,General Working Capital,1,01347,2026-05-25T09:17:53Z,0
Margin and IPO Financing,Working Capital,General Working Capital,1,01428,2026-05-25T09:18:31Z,0
Share Capital Increase for Futures Business,Working Capital,General Working Capital,1,01428,2026-05-25T09:18:31Z,0
Raw materials procurement,Working Capital,Inventory Procurement,1,01421,2026-05-25T09:18:52Z,0
New construction projects,Growth,Infrastructure and Network,1,01459,2026-05-25T09:19:32Z,0
Service capacity expansion,Growth,Capacity Expansion,1,01476,2026-05-25T09:19:45Z,0
Market-making capacity expansion,Growth,Capacity Expansion,1,01476,2026-05-25T09:19:45Z,0
Bank loan refinancing,Financing,Refinancing,1,01528,2026-05-25T09:20:18Z,0
Day-to-day Operations,Working Capital,Day-to-day Operations,1,01543,2026-05-25T09:20:31Z,0
New facilities / project capital,Growth,Capacity Expansion,1,01552,2026-05-25T09:20:48Z,0
Workforce expansion,Growth,Sales and Marketing,1,01552,2026-05-25T09:20:48Z,0
Acquisition of road infrastructure projects,Growth,Infrastructure and Network,1,01576,2026-05-25T09:21:16Z,0
Road maintenance,Growth,Infrastructure and Network,1,01576,2026-05-25T09:21:16Z,0
